INT_NO,RUE_1,RUE_2,NO_ARRONDISSEMENT,ARRONDISSEMENT,PERMANENT_OU_TEMPORAIRE,LOC_X,LOC_Y,Longitude,Latitude
2151,"Hochelaga","Joliette",4,"Mercier - Hochelaga - Maisonneuve","Permanent",300785,5045213,-73.551418,45.546819
2363,"Côte-des-Neiges","Swail",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",295407.309,5039502.828,-73.620178,45.495385
2371,"Assomption","Sapins des",3,"Rosemont - Petite-Patrie","Permanent",300122.106,5048170.276,-73.559936,45.573426
3097,"Belgrave","Saint-Jacques",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",296020,5036189,-73.612279,45.465574
1647,"Amos","Pie-IX",11,"Montréal-Nord","Permanent",293799.24,5050503.9,-73.641,45.594353
1650,"Jean-Talon","6800 Est (Bureau en Gros)",12,"Saint-Léonard","Permanent",299128.06,5050539,-73.572699,45.594733
1685,"Côte-des-Neiges","Côte-Sainte-Catherine",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",294838.795,5039866.471,-73.627459,45.498649
1696,"Beaver Hall","Belmont",6,"Ville-Marie","Permanent",299723.504,5040277.653,-73.564961,45.502402
1706,"Christophe-Colomb","Mistral",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",294876.945,5045482.2365,-73.627085,45.549183
1710,"Gouin","6750 Est",11,"Montréal-Nord","Permanent",295293.47,5054154.5,-73.621919,45.627224
1730,"Galeries d'Anjou les","Sortie Centre-d'achats / Halles",10,"Anjou","Permanent",299673.01,5050905.96,-73.565718,45.598039
1739,"L-H-Lafontaine (dir.Nord)","Yves-Prévost",10,"Anjou","Permanent",300963.64,5050850.59,-73.549175,45.597549
1493,"Davidson","Rachel/Saint-Michel",3,"Rosemont - Petite-Patrie","Permanent",300142.986,5045235.61,-73.55964,45.547019
1510,"Atwater","Lionel-Groulx",8,"Sud-Ouest","Permanent",298617.979,5038127.5425,-73.579081,45.483046
1518,"Rosemont","5689 (Hôp. Maisonneuve-R.)",3,"Rosemont - Petite-Patrie","Permanent",300037.44,5048570.5,-73.561024,45.577026
1523,"Monkland","Oxford",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",295161.623,5037246.316,-73.623277,45.475077
1545,"Irwin","Trinitaires",8,"Sud-Ouest","Permanent",296627.1875,5034137.587,-73.60448,45.447122
1546,"Lacroix","Trinitaires",8,"Sud-Ouest","Permanent",296871.136,5034074.688,-73.601361,45.446558
1557,"Parc","Rachel face monument",5,"Plateau Mont-Royal","Permanent",298172.5,5041645.5,-73.584827,45.514697
14226,"Église de l'","LaSalle",17,"Verdun","Permanent",299836.344,5035857.5,-73.563472,45.462628
15079,"Guy-Bouchard","Newman",16,"LaSalle","Permanent",296039.2525,5034006.48,-73.611994,45.445935
15140,"Harry-Worth","Saint-Jean",18,"Pierrefonds - Roxboro","Permanent",277431.406,5038840.5,-73.850136,45.488952
15920,"LaSalle","Stephens",17,"Verdun","Permanent",298800.25,5033762,-73.576696,45.443764
16776,"Ouellette","Saint-Jacques",15,"Lachine","Permanent",293459.813,5033977.25,-73.644968,45.445635
